,label,area,intensity_mean,axis_major_length,axis_minor_length,eccentricity,centroid-0,centroid-1,base_name
0,6,470.0,116.15106382978723,27.840969185610167,21.53158775807169,0.6339453951671881,295.44255319148937,1490.1617021276595,PMW947_HS_005
1,8,626.0,114.03354632587859,34.88581216006943,22.885358102730944,0.7547542788636149,358.00958466453676,1301.6214057507987,PMW947_HS_005
2,10,407.0,114.47911547911548,24.363855300275098,21.28826910527353,0.48634945771073934,269.1867321867322,697.8501228501228,PMW947_HS_005
3,11,489.0,113.68302658486708,25.898818588912583,24.208720173132008,0.35532648464536165,177.59713701431494,932.3394683026585,PMW947_HS_005
4,15,126.0,111.61111111111111,13.452879035458947,12.078004649981867,0.44040191306092924,255.13492063492063,579.6825396825396,PMW947_HS_005
5,18,131.0,112.38931297709924,15.131526254569005,11.086315198627089,0.6805911906990447,128.34351145038167,781.7022900763359,PMW947_HS_005
6,20,131.0,111.90839694656489,15.450456215088204,10.840577521615447,0.7125367560704308,149.9770992366412,404.412213740458,PMW947_HS_005
7,21,454.0,113.65638766519824,26.432089971298108,21.902677417569656,0.5597824160637432,283.7973568281938,1289.7665198237885,PMW947_HS_005
8,22,60.0,111.71666666666667,9.647876532145618,7.90123974649453,0.5738484197970699,215.61666666666667,438.01666666666665,PMW947_HS_005
9,25,118.0,112.05084745762711,14.012440310157404,10.731141862197143,0.6430435370064718,264.0,848.2372881355932,PMW947_HS_005
10,26,109.0,111.62385321100918,13.212247875132393,10.548636176082754,0.6021296891919504,128.06422018348624,825.2201834862385,PMW947_HS_005
11,28,82.0,111.3048780487805,10.688387761613079,9.882950154773747,0.3808333909709448,266.4268292682927,551.0,PMW947_HS_005
12,30,85.0,111.24705882352941,11.691399163904268,9.273389513242018,0.6089866484689338,258.3176470588235,449.5882352941176,PMW947_HS_005
13,31,74.0,111.54054054054055,10.774079157511368,8.758650523585908,0.5823512608758685,125.4054054054054,814.5945945945946,PMW947_HS_005
14,36,114.0,111.1842105263158,13.038344035178662,11.120968760061887,0.5220034981930051,250.67543859649123,322.9298245614035,PMW947_HS_005
15,37,67.0,111.76119402985074,10.023529140597239,8.523643535552937,0.526195668637543,254.8955223880597,381.25373134328356,PMW947_HS_005
16,38,76.0,111.39473684210526,9.984802923708209,9.719563547858392,0.2289605920136772,208.0921052631579,378.38157894736844,PMW947_HS_005
17,39,94.0,111.7127659574468,11.58066730298848,10.32050686177958,0.45364176909003734,296.3936170212766,596.4468085106383,PMW947_HS_005
18,41,66.0,110.51515151515152,9.451200113747452,8.907074347657232,0.33440950751889087,169.4090909090909,99.86363636363636,PMW947_HS_005
19,43,84.0,111.27380952380952,12.10879804297884,8.93403152285708,0.6750049052545377,203.4047619047619,456.42857142857144,PMW947_HS_005
20,44,91.0,110.8021978021978,13.887592451184258,8.414132074175187,0.7955605689504398,167.03296703296704,135.24175824175825,PMW947_HS_005
21,47,64.0,111.171875,10.081882841383186,8.229862597432797,0.5776251437675826,252.8125,353.6875,PMW947_HS_005
22,48,79.0,111.9113924050633,10.510447470397665,9.628775479650237,0.4009162605824709,266.34177215189874,318.67088607594934,PMW947_HS_005
23,51,171.0,111.85964912280701,18.25107919363592,12.156666272478976,0.7458809222195734,257.35087719298247,139.05263157894737,PMW947_HS_005
24,52,84.0,112.66666666666667,11.516681480037352,9.28686525591219,0.5913925801115809,163.9404761904762,788.5833333333334,PMW947_HS_005
25,53,64.0,109.90625,9.53269794571439,8.605204522599834,0.43026212554339344,227.9375,174.53125,PMW947_HS_005
26,54,200.0,114.755,16.364295407312373,15.583370489795051,0.3052297749308765,271.525,1059.57,PMW947_HS_005
27,55,98.0,110.56122448979592,12.067299422128702,10.327399000768883,0.5172788442997528,266.0408163265306,589.0816326530612,PMW947_HS_005
28,56,75.0,111.29333333333334,10.651259380669682,8.966580312169462,0.5397382789097448,228.8,319.8666666666667,PMW947_HS_005
29,57,81.0,112.06172839506173,11.759341525766063,8.807818365142422,0.6625631168221169,340.75308641975306,1618.4197530864199,PMW947_HS_005
30,58,84.0,111.58333333333333,11.159549722034926,9.615254137720413,0.5075595566548089,273.0238095238095,867.9047619047619,PMW947_HS_005
31,59,61.0,110.8688524590164,9.155306135670255,8.503048999302841,0.37069068450248976,191.11475409836066,558.8196721311475,PMW947_HS_005
32,60,79.0,111.17721518987342,11.61110180756169,8.67031160211817,0.6651317777147481,340.8101265822785,1035.9367088607594,PMW947_HS_005
33,61,78.0,111.12820512820512,11.823193391530111,8.459774528583695,0.6985885066621135,258.56410256410254,410.8974358974359,PMW947_HS_005
