,label,area,intensity_mean,axis_major_length,axis_minor_length,eccentricity,centroid-0,centroid-1,base_name
0,3,1373.0,125.21704297159505,48.014857736158724,36.88489187762071,0.6402129790402585,188.30808448652584,672.5032774945375,PMW941_NHS_002
1,4,1852.0,120.48920086393089,59.400055890248886,40.1761116972966,0.7365667305659656,112.53347732181426,411.3704103671706,PMW941_NHS_002
2,5,621.0,128.64573268921094,30.127701125787535,26.362231235034397,0.4840933565122041,216.87600644122384,891.4943639291465,PMW941_NHS_002
3,6,1533.0,119.90150032615786,45.15252154251423,43.290178159020506,0.2842358588457466,128.76125244618396,680.3705153294194,PMW941_NHS_002
4,7,827.0,143.0689238210399,35.46573740883147,29.773237724642826,0.5433705272934098,254.6783555018138,941.9419588875453,PMW941_NHS_002
5,8,1298.0,121.49460708782743,41.523000891402845,39.83317861558242,0.28237552778969927,137.30277349768875,733.8382126348228,PMW941_NHS_002
6,9,257.0,130.23346303501947,34.26974289168958,10.357229194542233,0.9532360982537409,276.1750972762646,1505.9922178988327,PMW941_NHS_002
7,11,1745.0,118.9054441260745,55.372261712203084,40.21908839238794,0.6873355869683868,393.50429799426934,721.7174785100286,PMW941_NHS_002
8,13,1011.0,135.01483679525222,39.26049463240714,32.84702683407154,0.5477482218134225,335.1849653808111,1400.75568743818,PMW941_NHS_002
9,15,1441.0,121.78417765440666,44.474346848141295,41.37324233822061,0.3668704009500965,145.1963913948647,773.6315058986814,PMW941_NHS_002
10,18,1118.0,134.84883720930233,39.196666323211,36.34747914002582,0.37429305222500914,199.65295169946333,473.8354203935599,PMW941_NHS_002
11,21,1532.0,124.78263707571801,47.34168433591346,41.499981989730955,0.4812096796960616,176.15339425587467,1364.0783289817232,PMW941_NHS_002
12,22,977.0,125.82395087001024,35.78091344184346,34.885895991028846,0.2222655067422686,139.90992835209826,496.2016376663255,PMW941_NHS_002
13,23,1278.0,124.85680751173709,46.612868892883434,34.931422861017445,0.6621238819321812,116.77856025039124,243.65023474178403,PMW941_NHS_002
14,26,327.0,128.32415902140673,40.07086154083489,11.386879113987282,0.9587743364332947,203.72477064220183,1502.2018348623853,PMW941_NHS_002
15,27,556.0,134.34892086330936,28.335483012308924,25.350864190330633,0.44673064407440455,330.1798561151079,610.8830935251799,PMW941_NHS_002
16,28,681.0,124.58883994126285,34.012016412980714,25.500080171916043,0.6617354884795693,155.26872246696036,561.9412628487519,PMW941_NHS_002
17,29,694.0,139.52305475504323,30.22458471772722,29.313038979933477,0.24373878300863677,284.4755043227666,703.3054755043228,PMW941_NHS_002
18,30,667.0,124.80659670164917,31.30022908667194,27.233785439519057,0.49290590207824136,310.68365817091455,1478.3988005997,PMW941_NHS_002
19,31,1379.0,133.69978245105148,48.179957253687824,36.60105007966332,0.6503043543311838,179.68890500362582,526.7831762146483,PMW941_NHS_002
20,32,1239.0,133.72316384180792,44.929388123729375,35.25925686167221,0.6197865079682285,262.5488297013721,477.0096852300242,PMW941_NHS_002
21,33,1674.0,123.6774193548387,60.543585170021736,35.27327086652234,0.8127521843160143,393.4217443249701,951.4862604540024,PMW941_NHS_002
22,34,873.0,130.26575028636884,39.602547130925736,28.20278140599717,0.7020317532821588,179.4982817869416,757.6655211912944,PMW941_NHS_002
23,35,724.0,135.74861878453038,34.0973017041037,27.08778261935501,0.6073609704518039,385.3936464088398,1106.1657458563536,PMW941_NHS_002
24,36,1614.0,123.46096654275092,61.44559911892329,33.47350814931667,0.8385877332839891,133.3996282527881,609.7645600991326,PMW941_NHS_002
25,38,1108.0,124.49458483754513,44.04761929289788,32.20891211367251,0.682131684311018,403.2906137184116,1376.5117328519855,PMW941_NHS_002
26,39,1270.0,130.56062992125985,43.71443240154598,37.140642158267376,0.527395862576466,175.98503937007874,636.3614173228347,PMW941_NHS_002
27,40,438.0,133.13470319634703,25.268416082965494,22.113510030871662,0.48386203939578926,244.10502283105023,1247.6872146118722,PMW941_NHS_002
28,43,872.0,121.64564220183486,38.20404418260966,29.839841512640252,0.6244497387919722,118.81307339449542,278.1330275229358,PMW941_NHS_002
29,46,1075.0,133.89581395348839,48.84339134906353,28.827951061585903,0.8072483552365173,176.08279069767443,1104.6446511627908,PMW941_NHS_002
30,49,449.0,136.92204899777283,28.061357820405846,20.39311134517463,0.6869201723762102,273.38752783964367,662.0311804008909,PMW941_NHS_002
31,50,1505.0,138.77209302325582,52.487447466217304,36.752858139021065,0.7139253080741657,227.8059800664452,1093.592026578073,PMW941_NHS_002
32,51,714.0,137.30392156862746,37.43069221061795,24.327933825872954,0.7599802749819655,237.70028011204482,813.0588235294117,PMW941_NHS_002
33,54,460.0,128.45652173913044,27.736473257759535,21.162102727855572,0.6464336501600982,209.19782608695652,974.991304347826,PMW941_NHS_002
34,55,399.0,129.88721804511277,30.94087314817234,16.4771130069639,0.8464076754912916,163.93984962406014,416.64411027568923,PMW941_NHS_002
35,56,1143.0,124.68503937007874,47.33357552700133,31.97723089446861,0.7372941636865653,156.77165354330708,368.3823272090989,PMW941_NHS_002
36,57,927.0,130.98274002157498,37.76079524660185,31.371913495584877,0.5565613962002542,369.1272923408846,1368.7346278317152,PMW941_NHS_002
37,59,635.0,135.33858267716536,35.24167498484655,22.956552688510865,0.7587314391352407,181.86614173228347,1172.4944881889764,PMW941_NHS_002
38,60,866.0,143.25173210161662,40.030677260445124,27.60304957609203,0.7242405525473874,340.75635103926095,1304.9607390300232,PMW941_NHS_002
39,63,635.0,141.38267716535432,33.55928297228791,24.17267194732498,0.6936651396921846,389.93543307086617,1165.6582677165354,PMW941_NHS_002
40,64,787.0,127.5146124523507,32.28291616244698,31.10155174837889,0.268046788641642,396.27445997458705,1433.2998729351968,PMW941_NHS_002
41,66,1303.0,130.63622409823483,45.36936368197691,36.68445196612191,0.5883955865535085,245.16730621642364,1369.4650805832694,PMW941_NHS_002
42,67,752.0,130.84441489361703,32.86404646183023,29.24073189820671,0.45645134592354125,263.594414893617,1411.2101063829787,PMW941_NHS_002
43,68,661.0,132.8608169440242,34.16856082586541,24.699638292023778,0.6909776022035019,213.7352496217852,746.4402420574886,PMW941_NHS_002
44,69,604.0,139.5480132450331,31.334670055411515,24.726084916327284,0.614268987482367,340.5066225165563,1366.635761589404,PMW941_NHS_002
45,70,757.0,133.24702774108323,37.110279060997186,26.046919860413464,0.7122963462238605,195.19154557463673,710.4095112285337,PMW941_NHS_002
46,71,586.0,136.46245733788396,31.623926929853017,23.72843670968933,0.6610614584999246,233.63993174061434,987.3037542662116,PMW941_NHS_002
47,72,434.0,120.60599078341014,24.770781075711966,22.36291975678345,0.43007262970840954,210.50921658986175,1282.1405529953918,PMW941_NHS_002
48,73,806.0,143.70471464019852,37.08299267300664,27.703159682252405,0.6647584576926112,328.893300248139,1232.8796526054591,PMW941_NHS_002
49,74,698.0,131.24498567335243,32.15234403717166,27.83259959618042,0.5006537973001906,325.74785100286533,563.9985673352436,PMW941_NHS_002
50,77,357.0,131.11764705882354,23.605479913019025,19.371287787329745,0.5714645835673027,276.5966386554622,631.266106442577,PMW941_NHS_002
51,78,711.0,140.71589310829816,33.764886817060564,26.851182332668728,0.6062950084420883,318.8481012658228,1327.5330520393811,PMW941_NHS_002
52,80,1360.0,126.04632352941177,52.36570997380329,33.724129470735,0.7650156474669194,380.34705882352944,1491.902205882353,PMW941_NHS_002
53,81,799.0,132.94618272841052,34.1488619128411,29.82088686821888,0.4872518111921431,283.27158948685855,764.2740926157697,PMW941_NHS_002
54,82,726.0,129.08815426997245,36.16748557551331,25.710016699747985,0.703333592835229,327.5702479338843,789.5730027548209,PMW941_NHS_002
55,84,632.0,135.46835443037975,32.34623491096994,24.998042078413135,0.6346168174281182,219.52215189873417,777.507911392405,PMW941_NHS_002
56,85,932.0,130.00858369098714,39.34093689381733,30.192217610711896,0.6411083287480831,179.98068669527896,576.5418454935623,PMW941_NHS_002
57,86,1282.0,140.75585023400936,41.70067247737221,39.29277467917616,0.3348890194683365,259.45865834633383,1133.5624024960998,PMW941_NHS_002
58,88,736.0,122.12364130434783,36.83103268960246,25.543284371446315,0.7204314517295881,157.94972826086956,323.55027173913044,PMW941_NHS_002
